"","SpCode","n"
"1","ACFL",1144
"2","ACNE2",1994
"3","ACNEN",466
"4","ACPE",3197
"5","ACRA7",1181
"6","ACRH",581
"7","ACRU",13614
"8","ACRUR",1712
"9","ACSA2",1599
"10","ACSA3",2601
"11","ACSAS",1398
"12","ACSP2",440
"13","ADPE",919
"14","AEFL",1334
"15","AGAL5",1850
"16","AGALA",2123
"17","AGPE",1220
"18","ALSE2",852
"19","AMAR2",1264
"20","AMAR3",2420
"21","AMARA4",754
"22","AMBR2",3057
"23","AMELA",592
"24","AMLA",1273
"25","AMTR",508
"26","ANGE",616
"27","ANGL10",439
"28","ANPL",754
"29","ANQU",416
"30","ANTR2",405
"31","ANVI2",614
"32","APAM",623
"33","APCA",709
"34","ARAR7",1019
"35","ARBE7",441
"36","ARMA7",866
"37","ARME6",548
"38","ARNU2",907
"39","ARST5",472
"40","ARTR",3125
"41","ASCA",931
"42","ASTR",2110
"43","ATFI",476
"44","ATFIA2",1605
"45","BAHA",744
"46","BEAL2",1533
"47","BEALA",508
"48","BELE",3350
"49","BENI",930
"50","BESC",708
"51","BICA",1683
"52","BIFR",839
"53","BOCY",3770
"54","BRER2",1192
"55","BROV4",444
"56","CAAM2",573
"57","CAAM8",625
"58","CAAP5",529
"59","CABL",1741
"60","CACA18",2407
"61","CACA38",501
"62","CACA4",448
"63","CACO15",3665
"64","CACR6",436
"65","CADE12",2096
"66","CADE5",790
"67","CADI3",539
"68","CADI5",1162
"69","CAFL22",458
"70","CAGL8",4817
"71","CAGR5",677
"72","CAGY4",421
"73","CAIN12",1008
"74","CAJA2",690
"75","CALU4",542
"76","CALU5",687
"77","CAOV2",2655
"78","CAOV3",1151
"79","CAPA24",560
"80","CAPE6",2359
"81","CAPU9",428
"82","CARA2",2761
"83","CARA8",940
"84","CARO22",712
"85","CARYA",657
"86","CAST5",440
"87","CAST8",718
"88","CASW",630
"89","CATH2",905
"90","CATO6",4040
"91","CATR7",865
"92","CATY",417
"93","CECA4",737
"94","CECAC",1884
"95","CELA",599
"96","CEOC",2699
"97","CEOC2",1435
"98","CHGL2",619
"99","CHLA5",777
"100","CHLA6",776
"101","CHVI3",902
"102","CIAR2",1170
"103","CILU",1430
"104","CILUC",1254
"105","CLAL3",1324
"106","CLMA4",520
"107","CLUM2",519
"108","CLVI5",956
"109","COAL2",878
"110","COAM2",808
"111","COAM3",619
"112","COCA4",1041
"113","COCA5",488
"114","COFL2",5829
"115","COMA6",940
"116","CORA6",454
"117","COVI3",708
"118","CRCA9",1851
"119","CYPR4",543
"120","CYRA",608
"121","DACO",617
"122","DASP2",2290
"123","DEAC4",503
"124","DEGL5",497
"125","DENU4",2241
"126","DEPU2",1676
"127","DIBO2",2170
"128","DICHA2",1431
"129","DICL",1196
"130","DICO2",1735
"131","DIDI6",1072
"132","DIDID",1070
"133","DILA9",578
"134","DISP",728
"135","DIVI4",2150
"136","DIVI5",3827
"137","DRCA11",521
"138","DRIN5",1838
"139","DRMA4",1556
"140","ELCA3",477
"141","ELHY",694
"142","ELVI3",1126
"143","EPRE2",749
"144","ERAN",603
"145","ERHI12",1231
"146","EUAM9",2808
"147","EUCA26",471
"148","EUCA5",571
"149","EUCO10",880
"150","EUDI16",3299
"151","EUFI14",531
"152","EUMA27",526
"153","EUPE3",461
"154","EUPU21",780
"155","EURA14",744
"156","EUSE2",410
"157","FAGR",4827
"158","FESU3",2779
"159","FRAM2",5105
"160","FRPE",4376
"161","FRVI",665
"162","GAAP2",2223
"163","GABA",1550
"164","GACI2",3253
"165","GADU",883
"166","GAFR2",889
"167","GAOB",406
"168","GAPR2",1010
"169","GATI",972
"170","GAUR",821
"171","GAUR2",1338
"172","GECA7",2663
"173","GEMA",1639
"174","GESE",1074
"175","GLST",1467
"176","GLTR",947
"177","HATE3",1075
"178","HAVI4",3512
"179","HEAM6",505
"180","HEDI2",619
"181","HOSE2",464
"182","HYAR",834
"183","HYCA3",403
"184","HYHY",1036
"185","HYIM3",508
"186","HYMU",484
"187","HYVI",708
"188","ILCO",464
"189","ILDE",1419
"190","ILGL",1326
"191","ILMO",1450
"192","ILOP",2817
"193","ILOPO",1267
"194","ILVE",1570
"195","ILVO",558
"196","IMCA",2778
"197","IMPA",653
"198","IOLI2",496
"199","ITVI",614
"200","JUEF",1222
"201","JUNI",2070
"202","JURO",621
"203","JUTE",659
"204","JUVI",1954
"205","JUVIV",1360
"206","KALA",3859
"207","LACA3",2595
"208","LEGL19",625
"209","LEMI3",540
"210","LEOR",1612
"211","LEVI2",1996
"212","LIBE3",3575
"213","LIST2",5146
"214","LITU",6698
"215","LUPA",742
"216","LYAM",477
"217","LYCI",589
"218","LYLI",407
"219","LYLU3",901
"220","LYQU2",1568
"221","LYUN",558
"222","LYVI4",1000
"223","MAAC",1845
"224","MACA4",1560
"225","MAFR",1550
"226","MARAR",4089
"227","MAVI2",1415
"228","MEPI2",468
"229","MIRE",3608
"230","MISC",939
"231","MOCA7",445
"232","MOCE2",2258
"233","MOCL",509
"234","MORU2",1625
"235","NEAR5",729
"236","NYAQ2",457
"237","NYBI",1534
"238","NYSY",7425
"239","OCAC",834
"240","ONSE",1733
"241","OSCI",2129
"242","OSCL",1405
"243","OSLO",969
"244","OSRE",478
"245","OSRES",959
"246","OSVI",2999
"247","OXAR",3692
"248","OXMO",455
"249","PAAU3",897
"250","PAQU2",11721
"251","PAVI2",569
"252","PEPA37",1488
"253","PEVI",686
"254","PHAM4",918
"255","PHAR3",1310
"256","PHDI5",713
"257","PHHE11",737
"258","PHLE5",1756
"259","PIEC2",984
"260","PIEL",402
"261","PIGR4",683
"262","PIPA2",1202
"263","PIPU2",2367
"264","PIRI",1037
"265","PIRU",900
"266","PISE",714
"267","PIST",3131
"268","PITA",2688
"269","PIVI2",1615
"270","PLOC",1875
"271","PLPOM",456
"272","POAC4",5456
"273","POAP",469
"274","POAR6",476
"275","POBI2",2032
"276","POCA17",1374
"277","POCO14",466
"278","PODE3",443
"279","POHY2",897
"280","POLYT5",414
"281","POPE",2151
"282","POPU5",837
"283","POSA5",1020
"284","POSI2",1830
"285","POSY",574
"286","POVI2",2811
"287","PRENA",632
"288","PRLA9",1102
"289","PRSE2",3690
"290","PRSES",5034
"291","PRVI",528
"292","PRVU",760
"293","PTAQ",661
"294","PTAQL",877
"295","PYPU",657
"296","QUAL",7432
"297","QUCO2",1896
"298","QUFA",1342
"299","QUHE2",455
"300","QUIM",493
"301","QUIN",407
"302","QULA2",486
"303","QULA3",859
"304","QULY",598
"305","QUMA2",552
"306","QUMAM2",574
"307","QUMI",684
"308","QUMO4",4721
"309","QUMU",770
"310","QUNI",1696
"311","QUPA2",681
"312","QUPA5",510
"313","QUPH",1726
"314","QURU",8378
"315","QURUR",716
"316","QUST",1436
"317","QUVE",5404
"318","QUVI",475
"319","RAHIN",498
"320","RHCA4",796
"321","RHCA8",540
"322","RHCO",1190
"323","RHMA4",2490
"324","RHPE4",878
"325","RHVI2",435
"326","RICY",443
"327","RIMI",797
"328","ROCA4",1129
"329","ROPA",662
"330","ROPS",2981
"331","RUAB",880
"332","RUAL",1605
"333","RUAR2",573
"334","RUCA16",735
"335","RUFL",1132
"336","RUHI",1227
"337","RULA3",527
"338","RUOC",1335
"339","RUPE3",1411
"340","RUTR",428
"341","SAAL5",6050
"342","SACA13",1351
"343","SACA15",1800
"344","SACE",1441
"345","SALA2",595
"346","SAMI8",422
"347","SANI",922
"348","SANIC",424
"349","SANIC4",1440
"350","SAOD",1847
"351","SCCY",722
"352","SCIN2",409
"353","SCLA2",570
"354","SCOL2",414
"355","SCSC",891
"356","SCSCS",621
"357","SERE2",454
"358","SETE3",868
"359","SETO7",500
"360","SMAU",452
"361","SMBO2",1466
"362","SMBOB2",974
"363","SMGL",6109
"364","SMLA",1297
"365","SMRO",8661
"366","SMTA2",2226
"367","SMWA",516
"368","SOAM3",637
"369","SOCA3",628
"370","SOCA4",1600
"371","SOCA6",1018
"372","SOCU",1573
"373","SOFL2",596
"374","SOGI",722
"375","SOLID",2208
"376","SONU2",597
"377","SOOD",724
"378","SORU2",1289
"379","SPAL",1044
"380","SPAL2",415
"381","SPHAG2",740
"382","SPPA",1189
"383","STPU",1843
"384","SYCO4",728
"385","SYDUD2",511
"386","SYFO",705
"387","SYLA4",1049
"388","SYLAL4",612
"389","SYLAL7",484
"390","SYMPH4",700
"391","SYOR",1440
"392","SYPR6",486
"393","SYTI",977
"394","TAAS",612
"395","TADI2",921
"396","TECA3",407
"397","TEVI",470
"398","THDE10",849
"399","THDI",488
"400","THNO",2545
"401","THPA",474
"402","THTH2",962
"403","TIAM",1675
"404","TIAMH",774
"405","TICO",888
"406","TIUS",948
"407","TORA2",11001
"408","TRBO2",544
"409","TRDI",526
"410","TRWA",448
"411","TSCA",3715
"412","TYLA",646
"413","ULAL",1937
"414","ULAM",4713
"415","ULRU",3452
"416","UVPE",1899
"417","UVSE",873
"418","VAAN",802
"419","VAAR",890
"420","VACO",1867
"421","VAER",419
"422","VAFO",632
"423","VAFU",1033
"424","VAPA4",4607
"425","VAST",3186
"426","VATE3",777
"427","VEAL",1329
"428","VEOC",505
"429","VIAC",2935
"430","VIAE",1419
"431","VIAEA2",766
"432","VIAEB",552
"433","VIAF2",876
"434","VICA4",420
"435","VICI2",561
"436","VICU",779
"437","VIDE",753
"438","VINU",505
"439","VINUC",632
"440","VIPR",2070
"441","VIPU3",1002
"442","VIRA",677
"443","VIRI",1221
"444","VIRO3",1094
"445","VIROR",3256
"446","VIRU",452
"447","VISO",2676
"448","VIVU",1325
"449","WOAR",853
"450","WOVI",878
"451","XYCA",491
